,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1717,2024-09-13,7.574334058044021,5.268655841531359,10.647107161734022,5.108214741978055,10.138881110659469,0.3335245229839703,0.3335245229839703,0.3335245229839703,-0.029077758308626984,-0.029077758308626984,-0.029077758308626984,0.36260228129259725,0.36260228129259725,0.36260228129259725,0.0,0.0,0.0,7.907858581027991
1718,2024-09-14,7.568419881198662,5.097707917537415,10.624130788348552,5.085890157298047,10.158503529942445,0.2439269489773533,0.2439269489773533,0.2439269489773533,-0.10563033901096597,-0.10563033901096597,-0.10563033901096597,0.3495572879883193,0.3495572879883193,0.3495572879883193,0.0,0.0,0.0,7.812346830176016
1719,2024-09-15,7.562505704353303,4.90478817986585,10.512415772775586,5.068675784448942,10.167176066788286,0.22244322097621833,0.22244322097621833,0.22244322097621833,-0.11236391594503915,-0.11236391594503915,-0.11236391594503915,0.3348071369212575,0.3348071369212575,0.3348071369212575,0.0,0.0,0.0,7.7849489253295205
1720,2024-09-16,7.556591527507946,5.271744395087684,10.811129832355807,5.04431448601348,10.174606324450515,0.41596840818145187,0.41596840818145187,0.41596840818145187,0.09696487492124757,0.09696487492124757,0.09696487492124757,0.31900353326020425,0.31900353326020425,0.31900353326020425,0.0,0.0,0.0,7.9725599356893975
1721,2024-09-17,7.550677350662585,4.961120388299501,10.781841962503352,5.019953187578014,10.182036582112739,0.37324415774725117,0.37324415774725117,0.37324415774725117,0.07044047010640196,0.07044047010640196,0.07044047010640196,0.3028036876408492,0.3028036876408492,0.3028036876408492,0.0,0.0,0.0,7.923921508409836
1722,2024-09-18,7.544763173817227,5.166509128473696,10.7696572441407,4.995591889142552,10.193865879051252,0.3504086502594232,0.3504086502594232,0.3504086502594232,0.06355527524274998,0.06355527524274998,0.06355527524274998,0.2868533750166732,0.2868533750166732,0.2868533750166732,0.0,0.0,0.0,7.89517182407665
1723,2024-09-19,7.538848996971868,4.952175358526522,10.606830306144973,4.971205507103673,10.214029675170302,0.287881661221046,0.287881661221046,0.287881661221046,0.01611139299422599,0.01611139299422599,0.01611139299422599,0.2717702682268201,0.2717702682268201,0.2717702682268201,0.0,0.0,0.0,7.826730658192915
1724,2024-09-20,7.532934820126508,5.062869863247591,10.606019440482077,4.946794041461377,10.225343682879464,0.22905024328048873,0.22905024328048873,0.22905024328048873,-0.02907775830875129,-0.02907775830875129,-0.02907775830875129,0.25812800158924,0.25812800158924,0.25812800158924,0.0,0.0,0.0,7.761985063406997
1725,2024-09-21,7.5270206432811495,4.881820005862966,10.623034327687312,4.922382575819085,10.229099377770646,0.14081106301084123,0.14081106301084123,0.14081106301084123,-0.10563033901096491,-0.10563033901096491,-0.10563033901096491,0.24644140202180614,0.24644140202180614,0.24644140202180614,0.0,0.0,0.0,7.667831706291991
1726,2024-09-22,7.521106466435791,4.879295352709839,10.428508234439526,4.898300089494804,10.236576443534684,0.12478937893468517,0.12478937893468517,0.12478937893468517,-0.11236391594485233,-0.11236391594485233,-0.11236391594485233,0.23715329487953749,0.23715329487953749,0.23715329487953749,0.0,0.0,0.0,7.645895845370476
