dt_mes,hierarquia_1,hierarquia_4,clientes_cx,vl_bruto_recuperados_60d,LTV_Receita_Recuperado,LT_mediano_recuperados,clientes_recorte_total,clientes_recorte_churn,clientes_recorte_churn_recuperados,montante_ltv,media_ltv,mediana_ltv,clientes_rentaveis_total,perc_recorte,perc_churn_recorte,perc_recuperacao_churn
2023-02-01,Marketplace,Dúvidas sobre pagamento de fatura,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492153,0.0,0.0,0.0
2023-06-01,Fraude,Antecipação de Fatura,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850274,0.0,0.0,0.0
2023-04-01,Crédito Pessoal,Gestão de Extrato,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
2023-01-01,Marketing,Token E-mail,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448099,0.0,0.0,0.0
2023-01-01,Crédito Pessoal,Informações sobre cartão,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448099,0.0,0.0,0.0
2023-01-01,Marketing,Informações sobre cartão,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448099,0.0,0.0,0.0
2023-01-01,Crédito Pessoal,Envio de TED,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448099,0.0,0.0,0.0
2023-05-01,Marketing,Dúvidas sobre cartão,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765592,0.0,0.0,0.0
2023-05-01,Marketplace,Problemas no site ou app,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765592,0.0,0.0,0.0
2023-05-01,Conta,Lançamentos duplicados,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765592,0.0,0.0,0.0
2023-04-01,Fraude,Aquisição de Crédito,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
2023-05-01,Fraude,Recebimento de TED,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765592,0.0,0.0,0.0
2023-04-01,Marketing,Problema no recebimento do cartão,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
2023-06-01,Crédito Pessoal,Dúvidas FGTS,369,3105.0506342298613,21925.709016833007,33.71735626007523,64.0,8.0,7.0,4608412549.041503,2490.312292785173,345.14345370817324,1850274,0.17344173441734417,0.125,0.875
2023-02-01,Cartão,Segunda via cartão,15308,884396.5627262228,621008.0206825163,39.86631016042781,3335.0,447.0,405.0,3441969045.9877305,2306.2974453524075,402.94724689464493,1492153,0.21785994251371832,0.13403298350824588,0.9060402684563759
2023-05-01,Conta,Boleto de Depósito,293,3809.376700918925,135.5302647547499,30.77740863787375,84.0,4.0,4.0,3613993722.0919275,2046.5878282131328,336.37803020447205,1765592,0.28668941979522183,0.047619047619047616,1.0
2023-05-01,Cartão,Fechamento Fatura,2491,41311.82121811311,74443.17738501765,37.0154416306362,227.0,29.0,26.0,4346485932.183441,2461.394758360893,404.55587048806854,1765592,0.09112806101967082,0.1277533039647577,0.896551724137931
2023-03-01,Cartão,Reenvio de cartão,1451,13505.72767769481,6488.809347504579,30.77740863787375,88.0,16.0,16.0,3075443509.0344906,1938.6378850616497,331.8673181062209,1586123,0.06064782908339077,0.18181818181818182,1.0
2023-06-01,Marketplace,Gestão de Recarga,1407,10734.690667303408,25459.82949771676,39.726235741444874,297.0,16.0,15.0,5429692704.995228,2934.1189282430755,406.6525886806513,1850274,0.21108742004264391,0.05387205387205387,0.9375
2023-04-01,Conta,Recebimento de PIX,3494,89396.75811001127,101827.4736974057,35.487378640776704,1148.0,96.0,84.0,4311253087.010193,2601.8111350558192,385.24830629466027,1656724,0.32856325128792213,0.08362369337979095,0.875
2023-06-01,Conta,Envio de TED,146,2485.8671433355457,3676.098371596452,33.13239363932523,38.0,2.0,2.0,4528461171.436713,2447.107849529387,339.1555578109227,1850274,0.2602739726027397,0.05263157894736842,1.0
2023-03-01,Conta,Cancelamento de conta will,272,1200.0,6890.05476923077,24.553846153846155,6.0,5.0,1.0,2453551813.415261,1546.6219699615988,264.7597518084166,1586123,0.022058823529411766,0.8333333333333334,0.2
2023-02-01,Marketing,Validação novo dispositivo,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492153,0.0,0.0,0.0
2023-05-01,Cartão,Dúvidas em lançamentos,1542,60789.333097943694,31600.972797852322,39.726235741444874,511.0,29.0,27.0,4664797100.404755,2641.652891761566,434.1831725787848,1765592,0.33138780804150453,0.05675146771037182,0.9310344827586207
2023-01-01,Marketplace,Informações sobre fatura,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448099,0.0,0.0,0.0
2023-04-01,Cartão,Compra internacional,142,8844.601702003893,648.8509093783183,30.77740863787375,37.0,8.0,7.0,3739053237.5851827,2256.492521264187,334.1172271387583,1656724,0.2605633802816901,0.21621621621621623,0.875
